Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
30, Arm CCA Support for Unikraft ,"This project aims to add Arm Arm Confidential Computing Architecture (CCA) support to the Unikraft ecosystem, which is a step of “Unikraft as the...", Zhang Xingjian ," Mentor  Vlad Badoiu, Hugo Lefeuvre, Maria Sfîrăială, Răzvan Vîrtan, Michalis E. Pappas ", Organization  Unikraft ,/archive/2023/projects/5oKH0o5n,https://github.com/unikraft/gsoc/blob/staging/gsoc-2023/work-product/Xingjian-Zhang-Arm-CCA-Support/Xingjian-Zhang-Arm-CCA-Support.md
31, Add More Summarization Functions ,"The Mathesar Data Explorer enables an action called “Summarize” that let a user view a summary of their data, which is in fact an aggregation of some...", Aritra Majumder ," Mentor  Brent Moran, Sean Colsen ", Organization  Mathesar ,/archive/2023/projects/D9XvkQCN,https://aritra8438.github.io/gsoc-final-blog/
32, Support basic SensorThings API (STA) for istSOS ,"istSOS currently supports the Sensor Observation Service (SOS) standard, but to enhance its interoperability, we propose implementing some of the...", filippofinke ," Mentor  Maxi, danistrigaro ", Organization  OSGeo (Open Source Geospatial Foundation) ,/archive/2023/projects/wLDJ39zW,https://blog.filippofinke.ch/posts/final-report-gsoc/
33, Search page for the Internet Yellow Pages ,"The users of IHR fall under the category of students, educators, professionals, network operators, policymakers, and researchers. The goal of this...", Roopesh Saravanan ," Mentor  Romain, Malte Tashiro ", Organization  Internet Health Report ,/archive/2023/projects/jmLW9PFH,https://roopeshsn.com/bytes/gsoc-2023-final-report
34, Participatory design enhancements to NeoRoo app ,The NeoWarm swaddling device and NeoRoo mobile app have been developed to support Kangaroo Mother Care/Skin-to-Skin care for premature newborns and..., Donya Esawi ," Mentor  Dr. Sherri Bucher, Khushboo Chandnani ", Organization  LibreHealth ,/archive/2023/projects/GerzaD2s,https://gitlab.com/DoniaEsawi/lh-mhbs-neoroo
35, Google Summer of Code Community Hub ,"Every year, it is understandable that open-source organisations invest a significant amount of time and effort in preparing for GSoC. That's why the...", M. Palanikannan ," Mentor  Dnouv, Hugo Costa, DhruvJain ", Organization  rocket.chat ,/archive/2023/projects/pzAncbjU,https://github.com/RocketChat/GSoC-Community-Hub
36, eRPC : An efficient Relay Partition Checker ,"Within a Tor Network, there are different computers which we term as ""Relay"" which creates a circuit(path) in a Tor Network, so that the user can...", Rishad Baniya , Mentor  GeKo , Organization  The Tor Project ,/archive/2023/projects/1EXXf3b5,https://gitlab.torproject.org/rishadbaniya/erpc
37, Belle II Event Display with Phoenix ,"The proposed project aims to improve the accessibility and user experience of Belle II by developing a web application for event display. Currently,...", Hieu Le Cong Minh ," Mentor  Thomas Kuhr, Giacomo De Pietro ", Organization  CERN-HSF ,/archive/2023/projects/2WYpamvj,https://gist.github.com/HieuLCM/c69359336d4fe6138cecd872bd5f5540
38, pg_adviser / index_adviser: Recommend Potentially Useful Indexes ,The Index Adviser (pg_adviser) is an extension for PostgreSQL that suggests potentially useful indexes for given queries. This project aims to..., Ahmed Ibrahim ," Mentor  sfrost, Gurjeet S. ", Organization  PostgreSQL ,/archive/2023/projects/Uuis4lHV,https://gist.github.com/ahmedibrahim404/9f16d7b627ada377c6209368734c8dfb
39, Dubbo GSoC 2023 - Go Observability Improvement ,"I am proposing an improvement to the observability capabilities of Apache Dubbo-go, a Dubbo implementation written in Golang used to solve...", Guan Wang ," Mentor  Albumen Kevin, Jun, zhaoyunxing, HaoGuo, LiujieQin ", Organization  Apache Software Foundation ,/archive/2023/projects/FC5ucrIH,https://gist.github.com/ev1lQuark/7cb8c9fb32bc36fd73b70f0a2037656b
40, Scaling Formal Verification: Parallel Analysis of Functions ,"Formal methods have been known to be useful for verifying critical software. However, one of the main factors keeping tools such as CPA-Checker from...", George Granberry , Mentor  Matthias Kettl , Organization  Software and Computational Systems Lab at LMU Munich ,/archive/2023/projects/lHNppaxZ,https://gitlab.com/sosy-lab/software/cpachecker/-/merge_requests/119
41, Improving FreeBSD User Emulation of the Armv7 Architecture ,"The proposal is about improving the QEMU emulator for the armv7 architecture on FreeBSD OS, it's goal is to get a simple C++ hello-world program to...", Kariiem , Mentor  Warner Losh , Organization  QEMU ,/archive/2023/projects/nPd0n4mh,https://gitlab.com/Kariiem/qemu/-/blob/master/GSoC23.org
42, Companion Guide Tech Stack ,The problem here is to migrate from gitbook to some other tool which provides us with the feature of generating website from some easy to use markup..., Parth Nanda ," Mentor  ShubhamPalriwala, Björn Kimminich, Jannik Hollenbach ", Organization  OWASP Foundation ,/archive/2023/projects/h2der3Mf,https://gist.github.com/parthn2/cc90186e96f4bf3de082526a279c25c8
43, Import / Export of HAR files addition to mitmproxy ,My proposal aims to add HAR file support to mitmproxy. This will include the new feature in mitmproxy that allows users to import HAR files into the..., Nathaniel Good ," Mentor  Maximilian Hils, Thomas Kriechbaumer ", Organization  The Honeynet Project ,/archive/2023/projects/XbEO9Djo,https://www-test.mitmproxy.org/posts/har-support/
44, Classification of body-keypose trajectories of gesture co-occurring with time expressions using GNNs ,This project aims to improve the previous iteration of the project where the hypothesis of it was the existence of a relation between the body..., SSP ," Mentor  Peter Uhrig, Ilya Burenko ", Organization  Red Hen Lab ,/archive/2023/projects/989BTxO8,https://medium.com/@f20200731/google-summer-of-code-23-red-hen-labs-6bc683056ebf
45, iOS versions of Android components ,Develop iOS versions of Android components for MIT App Inventor Implement the File component under Storage and ListView under User Interface for iOS...., Dhruv Shrivastava ," Mentor  Evan Patton, Diego Barreiro ", Organization  MIT App Inventor ,/archive/2023/projects/aeUHF4rI,https://docs.google.com/document/d/1FFm5hi8xJEcV05UpvbtjeD7LuzUfHJFfTI_L_vI8GP8/edit?usp=sharing
46, Integrating the SMT solver dReal to the framework JavaSMT ,SMT solvers are widely utilized in computer-guided verification of computer programs and artificial intelligence. With a multitude of theories..., Julius Brehme , Mentor  Daniel Baier , Organization  Software and Computational Systems Lab at LMU Munich ,/archive/2023/projects/nveyV1Qh,https://juliusbrehme.github.io/GSoC_Submission/
47, Extend the Cppyy support in Numba ,"Numba is a JIT compiler that translates a subset of Python and NumPy code into fast machine code. Cppyy is an automatic, run-time, Python-C++...", Aaron Jomy ," Mentor  Baidyanath Kundu, Vassil Vassilev, Wim Lavrijsen ", Organization  CERN-HSF ,/archive/2023/projects/PFtlRi3L,https://maximusron.github.io/2022-09-23/GSoC-23-CERN
48, Support importing Excel and JSON files ,"Mathesar is an open-source, web-based database management tool that is easy to use, flexible, and scalable. It provides users a simple, intuitive...", Anshuman Maurya ," Mentor  Dominykas Mostauskis, Anish Surendra Umale ", Organization  Mathesar ,/archive/2023/projects/A3gI5pYL,https://github.com/centerofci/mathesar/issues/3216
49, Google Developers Community Visualization Tool ,Many members of Google Developers Groups are available on Meetup . So I want to develop a platform which will make developers easily to get all..., AdityaKumar ," Mentor  Andreuibanez, Yash Raj ", Organization  Liquid Galaxy project ,/archive/2023/projects/7mnhMUjo,https://gist.github.com/soCallmeAdityaKumar/47419801a0c22f743eddd4f15f82b76f
50, Increase Director 4 Compatibility by adding Full Support for Total Distortion & Journey Man Project ,"The proposal outlines a plan to increase compatibility for two classic games, ""Total Distortion"" and ""The Journeyman Project,"" on the ScummVM...", Harishankar Kumar , Mentor  Eugene Sandulenko , Organization  ScummVM ,/archive/2023/projects/vvsx36fu,https://blogs.scummvm.org/hsk/2023/08/22/gsoc-23-its-a-wrap/
