ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links
11, Design and Development of Demos and Tools ,"As part of the project, I intend to build simulations and demos along with introductory animations about exoplanets, their descriptions and the...", Naga Sai Abhinay ," Mentor  Josh Walawender, Jen Tong ", Organization  Project PANOPTES ,/archive/2019/projects/6276888710873088,https://gist.github.com/Abhinay1997/e5bdf2067a0b93681f92d60805d47590,No,Yes,"As part of the project, I intend to build simulations and demos along with introductory animations about exoplanets, their descriptions and the methods used to detect them while highlighting the Transit Light Curve method.
Proposed simulators and demos other than introductory animations:

Predict the planet characteristics from the drawn/input transit light curve.
Give a transit light curve and ask the player/user to guess the planet characteristics.
Read and display actual data from Kepler or other projects and compare predictions made to the actual interpretation of the data.
Building a differential time lapse tool for various image formats with a focus on FITS (Python).",[],[]
12, Share Extension for React Native Client. ,Implements a Share extension to iOS and Android OS to ReactNative client Rocket.Chat., Djorkaeff ," Mentor  Diego Sampaio, Diego Mello ", Organization  Rocket.Chat ,/archive/2019/projects/6277152398376960,https://medium.com/@djorkaeff.unb/gsoc-2019-rocket-chat-reactnative-c95d1c61df29?source=friends_link&sk=3a99c61f121ab00047a2dbfe581ef4e0,No,No,Implements a Share extension to iOS and Android OS to ReactNative client Rocket.Chat.,[],[]
13, Panda3D: iOS Support ,"Panda3D is a mature 3D rendering engine both in age and functionality, addressing the need for the rapid prototyping of games while still providing...", Donny Lawrence ," Mentor  CFSworks, Mitchell Stokes, rdb ", Organization  Python Software Foundation ,/archive/2019/projects/6278096754311168,https://github.com/panda3d/panda3d/pull/715,No,Yes,"Panda3D is a mature 3D rendering engine both in age and functionality, addressing the need for the rapid prototyping of games while still providing stability for large projects. As a result of this maturity, however, Panda has been slow to take advantage of newer platforms and devices, with no support for iOS and only experimental support for Android. Adding support for iOS will make the engine much more appealing to new developers, while also creating the opportunity to update more antiquated areas of the engine. Many of these features will aid in future work on Android support as well.
Goals for this project include:

iOS build support using CMake
A flexible system that allows Panda to either run in a dedicated app or run alongside other UIKit elements
Improved multi-touch support
Documentation and unit testing","['/login?return_to=https%3A%2F%2Fgithub.com%2Fpanda3d%2Fpanda3d%2Fpull%2F715', '/login?return_to=https%3A%2F%2Fgithub.com%2Fpanda3d%2Fpanda3d%2Fpull%2F715', '/login?return_to=https%3A%2F%2Fgithub.com%2Fpanda3d%2Fpanda3d%2Fpull%2F715', 'https://github.com/panda3d/panda3d/pull/715']",[]
14, Semantic Art from Big Data ,"In the proposal, I described and demonstrated my ideas about the visualization tasks: 
1) Clusters of Event Category Over Time
2) Distribution of...", Xumeng Chen ," Mentor  Huamin Qu, Francis Steen ", Organization  Red Hen Lab ,/archive/2019/projects/6280106799005696,https://github.com/iMaxmoe/GSoC-2019-topic-detect-vis,No,No,"In the proposal, I described and demonstrated my ideas about the visualization tasks: 
1) Clusters of Event Category Over Time
2) Distribution of emotions across nations and networks
3) The emotional intensity of a single event cascading through the international news landscape",['https://github.com/github/site-policy/pull/582'],[]
15, Bringing Boost.SafeFloat to review-ready state ,"Floating point number operation are not guaranteed to hold correct results. A certain range of errors can occur silently (overflow, underflow,...", Thomas Ferrand , Mentor  Damian A Vicino , Organization  Boost C++ ,/archive/2019/projects/6282760602255360,https://docs.google.com/document/d/1zQPgRy0stg1MxHxrjEbjceYsnaa7sPsdw6QAStA-VYg/edit?usp=sharing,No,Yes,"Floating point number operation are not guaranteed to hold correct results. A certain range of errors can occur silently (overflow, underflow, imprecision, etc). This library aims to provide a replacement for floating-point number that warns on error.
The library is already in a relatively advanced state. The goal of this project is to bring it in a review-ready state.
In this application, I suggest exploring a new design that hopefully should end up being more performant than the current one. I also want to implement the missing features and to complete tests and documentation.",[],[]
16, Graph compression on the development history of software ,"Software Heritage is an ambitious research project whose goal is to collect, preserve in the very long term, and share the whole publicly accessible...", Thibault Allançon ," Mentor  seirl, Stefano Zacchiroli ", Organization  Software Heritage ,/archive/2019/projects/6283725761937408,https://wiki.softwareheritage.org/wiki/Google_Summer_of_Code_2019/Graph_compression,No,No,"Software Heritage is an ambitious research project whose goal is to collect, preserve in the very long term, and share the whole publicly accessible Free/Open Source Software (FOSS) in source code form.
The Software Heritage data model is a big Merkle DAG made of nodes like revisions, releases, directories, etc. It is a very big graph, with ~10 B nodes and ~160 B edges, which makes it hard to fit in memory using naive approaches. Graph compression techniques have been successfully used to compress the Web graph (which is slightly larger than the Software Heritage one) and make it fit in memory. The goal of this GSoC is review existing graph compression techniques and apply the most appropriate one to the Software Heritage case, enabling in-memory processing of its Merkle DAG.",[],[]
17, Advanced Kernel Density Estimation Improvements ,Kernel Density Estimation (KDE) is a widely used non-parametric technique to estimate a probability density function. mlpack already had an..., Roberto Hueso Gomez , Mentor  Ryan Curtin , Organization  mlpack ,/archive/2019/projects/6285626368851968,https://www.mlpack.org/gsocblog/Roberto2019Summary.html,No,No,"Kernel Density Estimation (KDE) is a widely used non-parametric technique to estimate a probability density function. mlpack already had an implementation of this technique and the goal of this project is to improve the existing codebase, making it faster and more flexible.
These improvements include:

Improvements to the KDE space-partitioning trees algorithm.
Cases in which data dimensionality is high and metric evaluations are computationally expensive.",[],[]
18, Dockerization of OpenWISP ,"OpenWISP installation procedure has some limitations that make it unsuited for complex deployments that need horizontal scaling, custom setups and...", Ajay Tripathi (atb00ker) ," Mentor  2stacks, Federico Capoano, Marco Giuntini ", Organization  OpenWISP ,/archive/2019/projects/6285865729392640,http://tiny.cc/submitgsoc2019,No,No,"OpenWISP installation procedure has some limitations that make it unsuited for complex deployments that need horizontal scaling, custom setups and easily replicable deployments. This project aims to solve these problems by dockerizing the OpenWISP modules to give users plug-and-play images with all the supporting ""batteries-included"" services so that the user can get OpenWISP working on their servers for their organizations and kubernetes clusters simply by changing the environment variables.",[],[]
19, kmarkdown-qtview with WYSIWYG markdown editor ,"I want to make a new Markdown WYSIWYG editor with light-weight render written in C++ and QT for KDE. Support pagination, printing preview, better...", SonGeon ," Mentor  Eike Hein, Sung Jae Cho ", Organization  KDE Community ,/archive/2019/projects/6286611979960320,https://community.kde.org/GSoC/2019/StatusReports/SonGeon,No,No,"I want to make a new Markdown WYSIWYG editor with light-weight render written in C++ and QT for KDE. Support pagination, printing preview, better text rendering, user preference of color theme.",[],[]
20, Clickboard Support Under Greybus ,Click boards are a flagship hardware product line of MikroElektronika with over 600 add-on boards ranging from wireless connectivity clicks to Human..., Vaishnav M A ," Mentor  Ravi Kumar Prasad, Jason Kridner ", Organization  BeagleBoard.org ,/archive/2019/projects/6291016871575552,https://github.com/vaishnav98/gbsim/wiki/Beagleboard-GSoC-'19:--Clickboard-Support-Under-Greybus,No,Yes,"Click boards are a flagship hardware product line of MikroElektronika with over 600 add-on boards ranging from wireless connectivity clicks to Human Machine Interface clicks for interfacing with peripheral sensors or transceivers. Most of the Click boards use the common protocols like SPI,I2C or UART to communicate with the Beaglebone and thus the support for them now is accomplished via device tree overlays via the bb.org-overlays repository. This requires /boot/uEnv.txt to be modified to load the drivers at boot, requiring at least one reboot to enable the support in a potentially error-prone way.
The Greybus Simulator is a tool which simulates an AP Bridge, SVC, and an arbitrary set of modules plugged into Greybus. Greybus already provides most of the interfaces used on click boards and utilises manifest files to enumerate hardware at run-time.This project aims to enable Click Board Support via Greybus Simulator by writing suitable Manifests according to the Click board Specifications and by simply copying the manifest to a hotplug-directory a click board can be loaded,which would make the interfacing a lot easier.",[],['https://github.com/vaishnav98/gbsim/issues/3']
21, Asking students why they picked a particular answer ,A feature to the lesson player that allows students to explain how they arrived at a (wrong) answer. The aim of this feature is to encourage..., Anubhav Sinha , Mentor  Akshay Anand , Organization  Oppia Foundation ,/archive/2019/projects/6294385870766080,https://medium.com/@anubhavsinha98/gsoc19-journey-oppia-308704ffa3a,No,No,"A feature to the lesson player that allows students to explain how they arrived at a (wrong) answer. The aim of this feature is to encourage reflection on the student's part, as well as provide (anonymized) information to creators about student misconceptions, so that the creator can improve Oppia’s feedback for future students.",[],[]
22, Webservices in Joomla ,"1) Web services in Joomla. Joomla is popular CMS, which is actively developing and it is very important to implement web services for further...", Oleksandr Samoilov ," Mentor  George Wilson (Joomla), Andrei Isac ", Organization  Joomla ,/archive/2019/projects/6294727723319296,https://github.com/a-samoylov/joomla-cms/blob/GSoC_submission/GSoC_submission.md,No,No,"1) Web services in Joomla. Joomla is popular CMS, which is actively developing and it is very important to implement web services for further development. Web services will implemented for next components:
com_content
com_contact
com_newsfeeds
com_weblinks
com_media (custom)
com_menus
com_categories
com_contenthistory
com_finder/com_search (read only as search and not CRUD)
com_languages (both languages and content languages)
com_messages
com_modules/com_templates
com_tags
com_redirect
com_plugins (edit settings only)
com_config (edit settings only)
2) Integrate entities layer (https://github.com/joomla-framework/entities) in Joomla. The entity layer is a very important implementation for developers. Working with entity is more convenient than working with database directly. Since Joomla is an open source project, this implementation will help many developers.","['https://github.com/joomla/joomla-cms/pull/26002', 'https://github.com/joomla-extensions/weblinks/pull/407']",[]
23, RESTful API for genomic variation search ,The Beacon specification allows to query whether a genomic variation is present in a repository. But the current implementation is based on an..., JUNAID N Z ," Mentor  Cristina Yenyxe Gonzalez, Andres Felipe Silva ", Organization  Global Alliance for Genomics and Health ,/archive/2019/projects/6294760740880384,https://gist.github.com/junaidnz97/4feadc786249424e081021d21ae94294,No,Yes,"The Beacon specification allows to query whether a genomic variation is present in a repository. But the current implementation is based on an outdated version of this specification. Many new parameters that are useful for filtering down the data which can improve the querying experience are available according to the latest specification. To improve this querying experience and search results, I would be updating the existing implementation, so that it matches with the current specification.
Also, current variation search APIs retrieves all the fields together. This is a lot of information at once and is cluttered. So, I would be redesigning these APIs and would make it closer to RESTful principles.
Now, variation search by 'geneId' is not efficient. To deal with this issue, I would build a data pipeline that would load mappings from a 'geneId' to its coordinates. These coordinates would then be used to search for variations.
I would be also be adopting the models defined by VMC which would enable standardized exchange of genomic data.
Based on the work done, feed backs will be provided to GA4GH workstreams.","['https://github.com/EBIvariation/eva-ws/pulls?utf8=%E2%9C%93&q=is%3Apr+author%3Ajunaidnz97+', 'https://github.com/EBIvariation/variation-commons/pulls?q=is%3Apr+author%3Ajunaidnz97', 'https://github.com/EBIvariation/eva-pipeline/pulls?q=is%3Apr+author%3Ajunaidnz97', 'https://github.com/EBIvariation/variation-commons/pull/82', 'https://github.com/EBIvariation/variation-commons/pull/83', 'https://github.com/EBIvariation/variation-commons/pull/84', 'https://github.com/EBIvariation/variation-commons/pull/86', 'https://github.com/EBIvariation/eva-ws/pull/114', 'https://github.com/EBIvariation/eva-ws/pull/119', 'https://github.com/EBIvariation/eva-ws/pull/124', 'https://github.com/EBIvariation/eva-ws/pull/116', 'https://github.com/EBIvariation/eva-ws/pull/122', 'https://github.com/EBIvariation/eva-ws/pull/115', 'https://github.com/EBIvariation/eva-ws/pull/125', 'https://github.com/EBIvariation/eva-ws/pull/118', 'https://github.com/EBIvariation/eva-ws/pull/123', 'https://github.com/EBIvariation/eva-pipeline/pull/152', 'https://github.com/EBIvariation/variation-commons/pull/87', 'https://github.com/EBIvariation/eva-ws/pull/120', 'https://github.com/EBIvariation/eva-ws/pull/128', 'https://github.com/EBIvariation/eva-ws/pull/129', 'https://github.com/EBIvariation/eva-ws/pull/127', 'https://github.com/EBIvariation/variation-commons/pull/88', 'https://github.com/EBIvariation/eva-ws/pull/126', 'https://github.com/EBIvariation/eva-pipeline/pull/153', 'https://github.com/EBIvariation/eva-pipeline/pull/154']",[]
24, Add subsampling to aster models ,We add support for sampling arrows to aster models using the theory of curved exponential families., Shannon Sequeira ," Mentor  Daniel Eck, Charles Geyer, Ruth Shaw ", Organization  R project for statistical computing ,/archive/2019/projects/6297056082132992,https://github.com/cjgeyer/aster/commit/58b08cd119487da39c10770d29408b71c676168a,No,No,We add support for sampling arrows to aster models using the theory of curved exponential families.,['https://github.com/github/site-policy/pull/582'],[]
25, Learning acceptable social behaviour using machine learning techniques ,Machines have been socially aware but the efforts to be put into making them socially aware or their behavior to be socially acceptable are..., Ronit Jorvekar ," Mentor  Luis J. Manso, Pedro Nuñez ", Organization  RoboComp ,/archive/2019/projects/6299515403894784,https://gist.github.com/Ronit-j/6768953b8076ce97a20ee2dc6d0dfa66,No,Yes,"Machines have been socially aware but the efforts to be put into making them socially aware or their behavior to be socially acceptable are tremendous. This is an effort in the same direction to make a machine more socially aware with the help of machine learning techniques using graph data. Graph data is better able to extract the semantics of the environment. This project focuses on the graphical representation of a scenario which helps us to derive the social acceptability score of a robot. Hence, using graph data coupled with the power of machine learning, this project is a step closer to social intelligence embedded in robots.",['https://github.com/robocomp/sngnn/pull/1'],[]
26, Nonlinear State Estimation for Carrier Synchronization in GNSS-SDR ,"Carrier synchronization in standard, mass-market GNSS receivers typically utilizes well understood locked-loop architectures. The performance...", glamountain , Mentor  Jordi Vilà-Valls , Organization  GNSS-SDR ,/archive/2019/projects/6299766860808192,http://geraldlamountain.com/gsoc2019/,Yes,No,"Carrier synchronization in standard, mass-market GNSS receivers typically utilizes well understood locked-loop architectures. The performance obtained with such architectures is sufficient for benign propagation scenarios, but typically deliver poor performance under harsh propagation conditions. Code and carrier tracking, as well as joint code/carrier synchronization, can be formulated as an estimation problem which can be solved using Bayesian filtering methods. It has been shown in the GNSS literature that KF-based synchronization solutions can be used to overcome the performance limitations of standard approaches, offering implicitly adaptive filter bandwidth, and opening up the possibility of using nonlinear models to avoid certain limitations associated with the use of code, phase or frequency discriminators. In this contribution, we will leverage powerful nonlinear tracking algorithms, including cubature, unscented, and sigma point Kalman filters in order to produce realizations of carrier and joint code-carrier tracking blocks which promise to be more effective and adaptable in challenging GNSS environments when compared to traditional architectures.",[],[]
27, R Code Optimizer ,R is slow compared to other popular languages. “The R interpreter is not fast and execution of large amounts of R code can be unacceptably slow”...., Juan Cruz Rodriguez ," Mentor  Nicolás Wolovick, Yihui Xie ", Organization  R project for statistical computing ,/archive/2019/projects/6300906386096128,https://jcrodriguez1989.github.io/rco/,No,No,"R is slow compared to other popular languages. “The R interpreter is not fast and execution of large amounts of R code can be unacceptably slow”. This is because “R was purposely designed to make data analysis and statistics easier for you to do. It was not designed to make life easier for your computer”. Although there are several R interpreters that attempt to improve execution speed, “switching interpreters is something to consider carefully”.
“Beyond performance limitations due to design and implementation, it has to be said that a lot of R code is slow simply because it’s poorly written. Few R users have any formal training in programming or software development. This means that it’s relatively easy to make most R code much faster”. “A good deal of work is going into making R more efficient. Much of this work consists of reimplementing interpreted R code”.
The main goal of this project is to provide an R package with functions that allow users to automatically apply strategies to optimize their R code. The developed functions will have as input and output R code so that the resulting code will allow the user to understand what modifications in the code cause its optimization.",[],['https://github.com/jcrodriguez1989/rco/issues']
28, A Wayland application proxy ,"To create a program which acts as a Wayland proxy (client + server pair), and which can forward Wayland protocol information and local shared-memory...", mstoeckl , Mentor  Simon Ser , Organization  X.Org Foundation ,/archive/2019/projects/6302692069081088,https://mstoeckl.com/notes/gsoc/blog.html,Yes,No,"To create a program which acts as a Wayland proxy (client + server pair), and which can forward Wayland protocol information and local shared-memory updates over a socket. The end result should enable a workflow similar to network transparency with X11 and ssh.",[],['https://github.com/swaywm/wlroots/issues/909']
29, NLP Library for Pharo ,"The aim of this project is to bring SpaCy and Gensim functionality to Pharo. Along with that, I plan on integrating all the existing functioning NLP...", Nikhil Pinnaparaju ," Mentor  Oleksandr Zaitsev, Alexandre Bergel ", Organization  Pharo Consortium ,/archive/2019/projects/6304617237839872,https://github.com/PolyMathOrg/Polyglot,No,No,"The aim of this project is to bring SpaCy and Gensim functionality to Pharo. Along with that, I plan on integrating all the existing functioning NLP packages into a united library with a uniform API and good documentation.","['https://github.com/PolyMathOrg/Polyglot/pulls?utf8=%E2%9C%93&q=is%3Apr+author%3Anikhilpinnaparaju+', 'https://github.com/PolyMathOrg/PolyMath/pulls?utf8=%E2%9C%93&q=is%3Apr+author%3Anikhilpinnaparaju+']",['https://github.com/PolyMathOrg/PolyMath/issues?utf8=%E2%9C%93&q=is%3Aissue+author%3Anikhilpinnaparaju+']
30, Unit Test Framework ,"Deployment is the last stage in the application development process and before that, any application undergoes a comprehensive testing process to...", Krishna Kumar Dey ," Mentor  Lydia D., Ben Albrecht ", Organization  Chapel ,/archive/2019/projects/6309272764284928,https://gist.github.com/krishnadey30/046d21a16ff0f2f19bc4d4a608a608d6,No,Yes,"Deployment is the last stage in the application development process and before that, any application undergoes a comprehensive testing process to validate that the system meets its functional and non-functional requirements.
An application comprises several functions, classes, procedures which are referred to a unit. The objective in unit testing is to isolate each unit of the system and validate its precision by identifying and fixing the defects and bugs and benefit of unit testing is that issues can be identified on earlier stages.
Chapel currently lacks unit testing, which harms the development of the platform and makes easier to reintroduce past bugs while developing. 
This project is a proposal to add a set of unit test classes to Chapel.",['https://github.com/chapel-lang/chapel/pulls?utf8=%E2%9C%93&q=is%3Apr+author%3Akrishnadey30+is%3Aclosed+GSoC'],"['https://github.com/chapel-lang/chapel/issues/13098', 'https://github.com/chapel-lang/chapel/issues/13668']"
31, Core Support of Virtual Reality Headsets through OpenXR ,"Implementation of core features needed for XR (virtual, augmented and mixed reality) headsets via the new OpenXR specification (currently in...", Julian Eisel , Mentor  Dalai Felinto , Organization  Blender Foundation ,/archive/2019/projects/6310655743754240,https://wiki.blender.org/wiki/User:Severin/GSoC-2019/Final_Report,No,No,"Implementation of core features needed for XR (virtual, augmented and mixed reality) headsets via the new OpenXR specification (currently in provisional state).
While virtual reality has reached mainstream adoption, it is still not possible to use this technology directly within Blender. There is great potential in the new XR workflows however. This project aims to introduce the core features necessary to build immersive experiences in the Blender viewport through OpenXR. Namely this concerns rendering and interaction with head-mounted displays (HMDs).",[],[]
32, NetjsongraphJS: based on canvas and geographic data ,Use EchartsJS to rewrite NetjsongraphJS, KuTuGu ," Mentor  Federico Capoano, Gabriele Gemmi ", Organization  OpenWISP ,/archive/2019/projects/6312148597211136,https://docs.google.com/document/d/1MDKUEO7XvGEMwK2S09CIj97TDFofGuEJPMB7hqcGrdk/edit?usp=sharing,No,Yes,Use EchartsJS to rewrite NetjsongraphJS,[],[]
